Startup,URL,Business Description,Funding Stage, Total funding (US$),Opportunity Space,Opportunity Space 2,Founded,Country,Industry,Maturity,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Lyres,https://lyres.com.au/,"Discover a full range of impossibly crafted, non-alcoholic, low calorie spirits.",Seed,,Creating Euphoria,,2019,Australia,,,,,,
Pentire Drinks,https://pentiredrinks.com/,Botanical Non-Alcoholic Spirits,Unfunded,,Creating Euphoria,,2019,England,,,,,,
Ritual Zero Proof,https://www.ritualzeroproof.com/,"Ritual Zero-Proof alternative spirits deliver the taste, aroma and burn of a good gin or whiskey--without the alcohol or calories.",Seed,,Creating Euphoria,,2019,USA,,,,,,
Three Spirit,https://threespiritdrinks.com/,Mission: show the world alcohol-free doesn’t mean pleasure-free. They’ve created plant-based alternatives to alcohol.,Undisclosed,,Creating Euphoria,,2018,England,,,,,,
Brunswick Aces,https://brunswickaces.com/,"A premium, non alcoholic distillate.",Undisclosed,,Creating Euphoria,,2017,Australia,,,,,,
Kratom Wave,https://kratomwave.com/,"Most people use kratom to reduce anxiety, to reduce pain, or simply to enter a state of euphoria. Kratom Wave aims to sell the best quality Kratom products on the market, at the best prices available.",Undisclosed,,Creating Euphoria,,2019,USA,,,,,,
Authentic Kratom,https://www.authentickratom.com/,Buy kratom powder & crushed leaf online. ,Unfunded,,Creating Euphoria,,2014,USA,,,,,,
Dame Products,https://www.dameproducts.com/,"Purpose's mission: to design well-engineered sex toys, to heighten intimacy, and to openly empower the sexual experiences of womankind.  They are trying to make the world a happier place.",Unfunded,,Creating Euphoria,,2014,USA,,,,,,
Maude,https://getmaude.com/,"As a modern sexual wellness company built on quality, simplicity and inclusivity, they’re on a mission to change this outdated industry and make intimacy better for all people.",Seed,1500000,Creating Euphoria,,2017,USA,,,,,,
Navitas Naturals,https://navitasorganics.com,Navitas Naturals is a food & beverages company providing organic superfoods.,Undisclosed,,Relieving Stress,,2003,USA,,,,,,
Naturalife Labs,https://www.naturalifelabs.net,Naturalife Labs is a company that produces supplements using organic herbs and plants.,Undisclosed,,Relieving Stress,,2016,USA,,,,,,
GreeNatr,https://www.greenatr.com,"GreeNatr promotes overall wellness through natural energy vitamins and supplements, as well as weight management supplements and antioxidant capsules.",Undisclosed,,Energizing,Energy consumables,2014,USA,,,,,,
Terrasoul Superfoods,https://www.terrasoul.com,"Terrasoul Superfoods is a producer of snacks, health supplements, fruits and coffee.",Undisclosed,,Energizing,,2013,USA,,,,,,
NusaPure,https://www.nusapure.com/,NusaPure is a health nutrition company that distributes advanced dietary supplements.,Undisclosed,,Energizing,,2016,USA,,,,,,
Montgomery And Evelyn (M+E),https://www.montgomeryandevelyn.com,"Montgomery And Evelyn (M+E) is a company that produces supplements that enhance the mental health of customers. Their products include Happy Me, Mood Me, Calm Me and Energy Me.",Undisclosed,,Energizing,,2018,England,,,,,,
Kolonne Null GmbH,https://kolonnenull.com,"Kolonne Null has a focus on research and product development, its team specializes in the development of high quality alcohol free wines and sparkling wines.",Undisclosed,,Creating Euphoria,,2018,Germany,,,,,,
Wine Water,http://winewater.com,"Wine Water is the developer of O.VINE, a nonalcoholic beverage made from pure spring water and the natural ingredients of wine.",Undisclosed,,Creating Euphoria,,2018,Israel,,,,,,
Tost Beverages,https://www.tostbeverages.com,"TÖST is a dry, sparkling beverage that provides the celebratory air of Champagne without the alcohol",Undisclosed,,Creating Euphoria,,2014,USA,,,,,,
Le PETIT Beret,https://www.lepetitberet.com/fr/,"Manufacturer of alcohol, sulphite, and pesticide-free low sugar wine like drinks made from grapes intended simply for the pleasure of the taste buds. The company offers a wide range of red and white wine like drinks available in different flavors, enabling consumers to enjoy with their family around a convivial meal without constraints.",Seed,750000,Creating Euphoria,,2015,France,,,,,,
Coolberg,https://coolberg.in,Coolberg is a non-alcoholic beer company.,Series A,3500000,Creating Euphoria,,2016,India,,,,,,
HyVIDA,https://www.hyvida.com/,"HyVIDA is the name of a new line of sparkling water that's infused with hydrogen to support the health of the brain and heart, as well as anxiety relief. HyVIDA's Hydrogen & Magnesium infusion delivers a unique Smooth Taste, Clarity, Calm, Gut Health & Workout Recovery.",Seed,53000,Relieving Stress,,2016,USA,,,,,,
Suja,https://www.sujajuice.com/,Suja Juice is now introducing an all-new organic kombucha that is fortified by functional adaptogenic ingredients. Adaptogenic ingredients are now being incorporated into a variety of food and beverage products for their incredible abilities to help people manage stress and fight fatigue.,Acquired,359000000,Relieving Stress,,2012,USA,,,,,,
Teaonic,https://teaonic.com/collections/wellness-tea,"I Love My Adrenals' is the name of a beverage from Teaonic that's been crafted specifically for the upkeep of adrenal health.This functional beverage is said to increase the body's ability to cope with stress, while also alleviating fatigue and improving one's immune system, energy levels and stamina. ",Unfunded,,Relieving Stress,,2012,USA,,,,,,
Rebbl,https://rebbl.co/,"Ayurvedic chai tea is a soothing, naturally sweet beverage. Adaptogens are now being integrated into on-the-go products to enrich them with stress-reducing and fatigue-fighting properties. ",Series B,33000000,Relieving Stress,,2012,USA,,,,,,
Four Sigmatic,https://us.foursigmatic.com/,"The Mushroom Hot Cacao with Reishi also serves to balance hormones, improve sleep and serve as a flavorful anti-stress solution. ",Unfunded,,Relieving Stress,,2012,USA,,,,,,
Sol-ti,https://solti.com/,"Sol-ti's Arctic Chaga Hotbrew Tea offers what the brand calls ""the king of medicinal mushrooms"" .Medicinal mushrooms can now be found in a range of food and beverage products for health, particularly because they are now coming into the spotlight as adaptogens, which promote balance and help the body better respond to stress.",Series A,5250000,Relieving Stress,,2016,USA,,,,,,
Raw & Juicy,https://www.raw-and-juicy.com/,"The beverages are positioned as detoxifying drinks that support the body's natural ability to cleanse itself, promising to help offset dietary and hormone imbalances, as well as the intake of toxins, alcohol, preservatives and more. ",Unfunded,,Relieving Stress,,2006,England,,,,,,
Moon Juice,https://moonjuice.com/,"""Dusted lattes"",  these nourishing lattes featuring its Moon Dusts offer ways to regulate stress and ""nourish biochemistry."" ",Undisclosed,,Relieving Stress,,2011,USA,,,,,,
Down to Earth,https://drinkdowntoearth.com/,"Down To Earth Organics launched a collection of four ready-to-drink bottled ""supertea"" beverages that are packed with herbs and adaptogens to provide functional benefits. The new range includes drinks like Longevity, Revival, Energy and Tranquility, each of which supports a different purpose. ",Undisclosed,,Relieving Stress,,2018,USA,,,,,,
Sunwink,https://drinksunwink.com/,Sunwink Herbal Tonics is a beverage brand that aims to offer drinks that are nutritious and flavorful. ,Undisclosed,,Relieving Stress,,2018,USA,,,,,,
Kalm & ON,https://kalm-on.com/,Kalm & ON' is a herbal beverage that is designed to support the body by managing both stress and energy at the same time. ,Unfunded,,Relieving Stress,,2014,USA,,,,,,
Top Shelf Beverages Inc.,www.cbotanicals.com ,"Purposeful ingredients included in the C Botanicals line also boast anti-microbial, stress-relieving and liver-cleansing properties from some of the most tried-and-true ancient healing remedies in the world.",Undisclosed,,Relieving Stress,,2011,USA,,,,,,
Puraty,https://puraty.com/,"Medicinal, Organic, Herbal Teas. A natural way to solve minor to critical health challenges without any side-effects.",Unfunded,,Relieving Stress,,2016,USA,,,,,,
Juice Shots,http://www.juiceshots.com/,"As an alternative to making a solid supplement, Juice Shots launched 'The Best Stuff' as a fast-absorbing liquid to boost one's mood and energy.  As a result of taking The Best Stuff, consumers are said to feel more energized, focused and capable of tackling their daily tasks.",Undisclosed,,Relieving Stress,,2018,USA,,,,,,
Herbal Natural Drink,https://herbalnaturaldrink.com/,"Herbal Natural Drink is created to relax the body, soul and mind.",Undisclosed,,Relieving Stress,,2017,Australia,,,,,,
Stress Check,https://apps.apple.com/mk/app/stress-check/id330049595,Stress Check is a tool developed by psychologists with expertise in stress management and workplace performance. The Stress Check assessment will provide you with an overall stress score that describes your current level of stress.,Undisclosed,,Relieving Stress,,2009,USA,,,,,,
StressScan,https://stress-scan.com,"Just place a finger over the camera for two minutes, and StressScan will analyze changes in your heart rate and scientifically measure the level of your mental and physical stress on a scale of 1 to 100.",Undisclosed,,Relieving Stress,,2010,Japan,,,,,,
Cardiogram,https://cardiogram.com,Cardiogram is an app for tracking the health and activity data to monitor heart health.,Seed,2000000,Relieving Stress,,2016,USA,,,,,,
Spire,https://spirehealth.com,Wearable for real-time breath tracking and stress management,Seed,120000,Relieving Stress,,2012,USA,,,,,,
Feel,https://www.myfeel.co,"Feel is a wristband developed by Sentio Solutions for emotional tracking. The integrated sensors on the wristband measure and track biosignals throughout the day, while the mobile application visualizes the results and provides personalized recommendations to improve emotional health.",Seed,6250000,Relieving Stress,,2010,USA,,,,,,
Lief Therapeutics,https://www.getlief.com,Wearable patch to monitor and manage stress level,Undisclosed,,Relieving Stress,,2015,USA,,,,,,
Awake Labs,https://awakelabs.com,Wearable device to track body's response to anxiety for people suffering from autism,Undisclosed,,Relieving Stress,,2015,Canada,,,,,,
The Elegant Monkeys,https://www.elegantmonkeys.com,Sensor-based device for stress monitoring and alerts,Undisclosed,,Relieving Stress,,2014,Israel,,,,,,
Pip,https://thepip.com/en-gb/,"Stress management device. Pip accurately captures changes at fingertips and through biofeedback, allows you to visualise them.",Undisclosed,,Relieving Stress,,2012,Ireland,,,,,,
Resility,https://resilityhealth.com,"Resility is a digital platform to assess, monitor, and manage stress. It combines proven stress management techniques with biofeedback from wearable sensors.",Undisclosed,,Relieving Stress,,2016,USA,,,,,,
Roar Ambition,https://www.roarambition.com/uk/,"Roar Ambition is a company that sells premium sports supplements, workout guides and pre-workouts.",Undisclosed,,Energizing,,2014,England,,,,,,
anatomē,https://www.anatome.co,anatomē is a manufacturer of nutritional supplement and cosmetic care products.,Undisclosed,,Energizing,Energy consumables,2017,England,,,,,,
BrainZyme,https://www.brainzyme.com,"Better Nutritional Science produces BrainZyme, the UK's first legal cognitive enhancer brain food supplement.",Undisclosed,,Energizing,,2016,England,,,,,,
Innermost,https://www.liveinnermost.com,Innermost uses the power of nutrition to create personalised solutions for your health and fitness needs.,Undisclosed,,Energizing,Energy consumables,2015,England,,,,,,
Nootropz,https://nootropz.co.uk,Nootropz produces four kinds of nootropic supplements.,Undisclosed,,Energizing,,2019,England,,,,,,
Mind lab pro,https://www.mindlabpro.com,Mind lab pro manufactures nootropic product,Undisclosed,,Energizing,,2015,England,,,,,,
Raw Powders,https://rawpowders.co.uk,"Raw Powders offers various types of products, helping to boost both mental and physical health condition and as a result afterwards – to improve people's general quality of life.",Undisclosed,,Energizing,,2014,England,,,,,,
Zensorium,https://www.zensorium.com/index.html,"Zensorium makes wearables for tracking stress, sleep and motions.",Undisclosed,,Relieving Stress,,2011,Singapore,,,,,,
Wellbe,https://thewellbe.com,"The WellBe app monitors your heart rate and uses a patent pending algorithm to determine your stress and calmness levels based on time, location and the people you meet throughout your day.",Undisclosed,,Relieving Stress,,2014,USA,,,,,,
iBreve,https://www.ibreve.com,iBreve is a wearable designed for women and it analyzes your breathing patterns and provides you with smart feedback before stress is about to rise.,Undisclosed,,Relieving Stress,,2016,Spain,,,,,,
Patch'd,https://www.patchdmedical.com,Patch'd has one aim: to help prevent the millions of people who suffer and die from sepsis every year from going through that pain.,Undisclosed,,Relieving Stress,,2017,Australia,,,,,,
CalmLet,https://www.calmlet.com,Wearable device for monitoring & managing stress & anxiety,Undisclosed,,Relieving Stress,,2016,USA,,,,,,
Moodmetric,https://www.moodmetric.com,The Moodmetric ring uses EDA measurement to give a good picture on fluctuating stress levels.,Undisclosed,,Relieving Stress,,2013,Finland,,,,,,
hidn.technology,https://www.hidn.technology,hidn.technology produces smartwatches that track stress level.,Undisclosed,,Relieving Stress,,2016,Finland,,,,,,
MoNoA,https://monoa.tech,The MoNoa wearable is a wristwatch attach that measures your daily stress levels.,Undisclosed,,Relieving Stress,,2018,Belgium,,,,,,
Emvio,http://www.emvio.watch,Emvio is the bracelet that monitors both your daily activity and stress levels.,Undisclosed,,Relieving Stress,,2013,Russia,,,,,,
ZenMark,http://www.zenmarkapp.com,ZenMark is an app that uses the latest heart rate technology to detect and track stress over time.,Undisclosed,,Relieving Stress,,2014,USA,,,,,,
Habit,http://www.getboop.com,Habit makes a device that logs stress and anxiety.,Undisclosed,,Relieving Stress,,2015,Canada,,,,,,
Sensedat,https://www.sense-dat.com,"SENSEDAT, a startup in the Life Science sector, has created an IoT solution (smartwatch & cloud platform) and an environment for recording, visualizing and analyzing psychophysical stress levels.",Undisclosed,,Relieving Stress,,2016,Italy,,,,,,
Prana,http://prana.co,Prana is the first wearable which tracks both breathing and posture for many healthy benefits for body and mind. It helps us breathe and sit in a healthier way to profoundly reduce the daily stress we carry around.,Undisclosed,,Relieving Stress,,2014,USA,,,,,,
KikBnB,https://www.kinkbnb.com/,"Kinkbnb, is an online accommodation marketplace for BNB's with sex positive environment. The platform enables users to list properties that have a ""kinky"" touch and rent it out to other users within the community. Users can also post requests for such BNB's in the location of their travel.",Undisclosed,,Creating Euphoria,,2015,USA,,,,,,
CheekyChacha,https://www.cheekychacha.com/,"Vegan, gluten free and no preservatives oral sex lube that is also good for your teeth",Undisclosed,,Creating Euphoria,,2013,USA,,,,,,
Lora Dicarlo,https://loradicarlo.com/,AWARD-WINNING ROBOTIC MASSAGER FOR HANDS-FREE BLENDED ORGASMS,Seed,3200000,Creating Euphoria,,2017,USA,,,,,,
Lioness,https://lioness.io/,Smart Vibrator for Better Orgasms,Undisclosed,,Creating Euphoria,,2013,USA,,,,,,
Einhorn,https://einhorn.my/einhorn-condoms/,einhorn is a internet-first brand of adult merchandised products. The company specializes in manufacturing organic condoms. It claims that the products are made of natural soap & rubber. The company also caters to B2B customers.,Undisclosed,,Creating Euphoria,,2015,Germany,,,,,,
Crave,http://www.lovecrave.com/,Modern vibrators for women,Series B,5570000,Creating Euphoria,,2010,USA,,,,,,
